open;high;low;close;volume;marketCap;timestamp
441112.4815688907;449318.8751843863;437853.5821866981;437914.6868229793;596316822391.532;8415336709264.467;"2023-02-02"
437868.8291457407;447345.6326787005;441753.4561636661;444777.3527881082;505288762497.1102;8435193065294.523;"2023-02-03"
444720.4330209452;446818.782155338;441789.4633395265;442549.1437576037;296639958949.7617;8533038753409.331;"2023-02-04"
442556.7395958216;444286.3573054386;431481.9943911747;436111.3068199964;371087107390.5982;8395862687635.031;"2023-02-05"
436080.0731489712;443508.8225233513;435018.6187285223;436327.2494140468;452627021609.445;8338096807792.208;"2023-02-06"
436272.7716223606;441302.4468040531;436205.6124082432;439350.6756163692;521212337668.1193;8600669530812.742;"2023-02-07"
439334.131021333;441393.9011539;431171.3813320422;434411.8807723397;479143227519.21313;8354643456871.434;"2023-02-08"
434547.6014550646;435619.2851123144;409118.5686269509;409840.1181424535;616838851325.4446;7968962989298.138;"2023-02-09"
409839.4889983264;412268.7558955429;401865.8368871249;404054.3917571764;508629958096.6273;7843813379733.08;"2023-02-10"
404066.6728287328;408537.5039263143;403443.5088168206;408154.2517834086;305239893941.60095;7872512268892.905;"2023-02-11"
408154.7824895318;411702.2813475963;404987.6910679965;407065.2021396184;332576368020.7658;7843159001647.233;"2023-02-12"
407042.6945108921;408684.5133943234;399408.5789867477;404937.1735445033;446869682353.5477;7859468932488.445;"2023-02-13"
404820.5907460096;413120.086753834;403357.9643413098;411272.4202453559;497490265035.3351;7959482958496.869;"2023-02-14"
411268.3705020146;451837.9223292568;409251.1041834485;451837.9223292568;601215447982.974;8679480496245.261;"2023-02-15"
451828.7931159579;466519.454362826;437805.5501305845;438237.8230492702;730824255600.4977;8471938048718.306;"2023-02-16"
438197.1596230959;457602.3846224841;435365.9417374378;451053.9312394575;767238437228.3604;8792637050230.509;"2023-02-17"
451048.3129124725;455336.3796798459;449268.7019109354;452443.414305446;360346393128.70355;8730000193452.446;"2023-02-18"
452420.4678179628;460738.6042118212;446895.7365646546;446895.7365646546;469222406226.54535;8619325237957.764;"2023-02-19"
447060.7286867701;460974.6942174465;439802.987928474;456574.7030953435;532494484222.13855;8801602402226.926;"2023-02-20"
456646.4435823036;463284.1172795575;446583.8392572513;450711.4530198705;574684155028.1234;8671680238726.884;"2023-02-21"
450731.0776692449;451260.058297842;433863.3940485274;444320.2849475997;557017800625.9602;8610193497876.259;"2023-02-22"
444354.744962897;450996.1292413751;435330.1360526806;439961.9676287162;559812734614.4764;8489867674125.625;"2023-02-23"
439934.6915489261;442553.4629684616;423956.7099978136;426543.9701196905;492583849539.8556;8225983439818.619;"2023-02-24"
426580.7140669847;426763.8299658901;420364.6237934043;426134.9019664905;296043967416.9303;8224946124747.846;"2023-02-25"
426112.3798446725;435185.7654135555;424458.8169782644;433458.6968797902;306049719952.1366;8362500632050.722;"2023-02-26"
433463.0711765787;438760.2645073096;426323.0976152515;432395.0792452473;416893011902.4041;8353680786251.597;"2023-02-27"
432376.0890493699;432088.4815231192;422314.0784833482;423699.7579367615;377478997107.0677;8213892533310.133;"2023-02-28"
423765.225080444;435807.6916805057;423170.5435753204;428444.7436576117;451439940898.0417;8356134471997.459;"2023-03-01"